,movie_id,genre_id
533,102382,28
534,102382,12
535,102382,14
536,330457,10751
537,330457,16
538,330457,12
539,330457,35
540,330457,14
541,623135,35
542,623135,18
543,216015,18
544,216015,10749
545,216015,53
546,207703,80
547,207703,35
548,207703,28
549,207703,12
550,801604,28
551,351286,28
552,351286,12
553,351286,878
554,14161,28
555,14161,12
556,14161,878
557,138843,27
558,138843,53
559,260514,16
560,260514,12
561,260514,35
562,260514,10751
563,383498,28
564,383498,35
565,383498,12
566,845222,18
567,845222,14
568,845222,53
569,301528,10751
570,301528,12
571,301528,16
572,301528,35
573,301528,14
574,301528,18
575,557,14
576,557,28
577,1726,28
578,1726,878
579,1726,12
580,337401,12
581,337401,14
582,337401,18
583,10674,16
584,10674,10751
585,10674,12
586,378064,16
587,378064,18
588,378064,10749
589,68726,28
590,68726,878
591,68726,12
592,109445,16
593,109445,10751
594,109445,12
595,109445,14
596,384018,28
597,384018,12
598,384018,35
599,529106,28
600,529106,12
601,259693,27
602,259693,53
603,98566,878
604,98566,28
605,98566,12
606,98566,35
607,604822,28
608,604822,12
609,604822,80
610,38757,16
611,38757,10751
612,68721,28
613,68721,12
614,68721,878
615,14160,16
616,14160,35
617,14160,10751
618,14160,12
619,18240,35
620,18240,10749
621,18240,18
622,9637,9648
623,9637,12
624,9637,35
625,157336,12
626,157336,18
627,157336,878
628,168259,28
629,168259,53
630,168259,80
631,168259,12
632,11224,10751
633,11224,14
634,11224,16
635,11224,10749
636,568160,16
637,568160,18
638,568160,14
639,568160,10749
640,10198,10749
641,10198,10751
642,10198,16
643,76338,28
644,76338,12
645,76338,14
646,72190,28
647,72190,18
648,72190,27
649,72190,878
650,72190,53
651,3933,10749
652,3933,14
653,3933,16
654,630004,80
655,630004,28
656,630004,53
657,503736,28
658,503736,80
659,503736,27
660,503736,53
661,475557,80
662,475557,53
663,475557,18
664,559,14
665,559,28
666,559,12
667,411,12
668,411,10751
669,411,14
670,4247,35
671,630586,27
672,630586,53
673,8960,14
674,8960,28
675,260346,53
676,260346,28
677,632632,16
678,632632,18
679,632632,10402
680,632632,10749
681,574060,28
682,574060,80
683,574060,53
684,12,16
685,12,10751
686,8966,14
687,8966,18
688,8966,10749
689,335797,16
690,335797,35
691,335797,10751
692,335797,10402
693,120,12
694,120,14
695,120,28
696,299537,28
697,299537,12
698,299537,878
699,296096,18
700,296096,10749
701,412656,878
702,72545,12
703,72545,28
704,72545,878
705,447404,28
706,447404,12
707,447404,14
708,439079,27
709,439079,9648
710,439079,53
711,644495,18
712,644495,80
713,644495,53
714,22832,28
715,150540,16
716,150540,10751
717,150540,12
718,150540,18
719,150540,35
720,72105,35
721,72105,14
722,324857,28
723,324857,12
724,324857,16
725,324857,878
726,8355,16
727,8355,35
728,8355,10751
729,8355,12
730,436931,10751
731,436931,16
732,436931,12
733,436931,14
734,49013,16
735,49013,10751
736,49013,12
737,49013,35
738,420809,10751
739,420809,14
740,420809,12
741,420818,12
742,420818,10751
743,420818,16
744,420818,18
745,522627,80
746,522627,28
747,522627,35
748,121,12
749,121,14
750,121,28
751,576845,53
752,576845,27
753,576845,9648
754,269149,16
755,269149,12
756,269149,10751
757,269149,35
758,11544,16
759,11544,10751
760,10193,16
761,10193,10751
762,10193,35
763,27205,28
764,27205,878
765,27205,12
766,254128,28
767,254128,18
768,254128,53
769,602734,27
770,602734,80
771,602734,9648
772,156022,53
773,156022,28
774,156022,80
775,628704,53
776,1771,28
777,1771,12
778,1771,878
779,35,16
780,35,35
781,35,10751
782,297802,28
783,297802,12
784,297802,14
785,43347,18
786,43347,35
787,43347,10749
788,614917,18
789,614917,36
790,10020,10749
791,10020,10751
792,10020,16
793,10020,14
794,91314,878
795,91314,28
796,91314,12
797,122,12
798,122,14
799,122,28
800,294254,878
801,294254,28
802,294254,53
803,294254,12
804,581644,28
805,581644,53
806,268896,28
807,268896,14
808,268896,878
809,268896,12
810,581387,28
811,581387,12
812,581387,53
813,512200,12
814,512200,35
815,512200,14
816,619778,53
817,619778,27
818,619778,9648
819,50620,12
820,50620,14
821,50620,18
822,50620,10749
823,503314,28
824,503314,878
825,503314,16
826,283995,12
827,283995,28
828,283995,878
829,495764,28
830,495764,80
831,49051,12
832,49051,14
833,49051,28
834,572154,16
835,572154,35
836,572154,10749
837,572154,18
838,572154,14
839,810,14
840,810,12
841,810,16
842,810,35
843,810,10751
844,10196,28
845,10196,12
846,10196,14
847,12429,16
848,12429,14
849,12429,10751
850,102651,14
851,102651,12
852,102651,28
853,102651,10751
854,102651,10749
855,166428,16
856,166428,10751
857,166428,12
858,50619,12
859,50619,14
860,50619,10749
861,681887,28
862,681887,12
863,681887,878
864,131631,878
865,131631,12
866,131631,53
867,645788,28
868,645788,53
869,82690,10751
870,82690,16
871,82690,35
872,82690,12
873,333339,878
874,333339,12
875,333339,28
876,11322,28
877,11322,80
878,345938,18
879,345938,14
880,586047,878
881,586047,28
882,617502,28
883,617502,53
884,740925,27
885,740925,53
886,740925,9648
887,646380,35
888,646380,18
889,646380,878
890,75780,80
891,75780,18
892,75780,53
893,75780,28
894,49026,28
895,49026,80
896,49026,18
897,49026,53
898,260513,28
899,260513,12
900,260513,16
901,260513,10751
902,396535,28
903,396535,27
904,396535,53
905,591273,9648
906,591273,27
907,343668,28
908,343668,12
909,343668,35
910,343668,878
911,343668,80
912,950,16
913,950,10751
914,950,35
915,950,12
916,4248,35
917,398818,10749
918,398818,18
919,37135,10751
920,37135,12
921,37135,16
922,37135,18
923,336843,878
924,336843,28
925,336843,12
926,336843,53
927,270946,10751
928,270946,16
929,270946,12
930,270946,35
931,527641,10749
932,527641,18
933,8920,16
934,8920,35
935,8920,10751
936,93456,16
937,93456,35
938,93456,10751
939,404368,10751
940,404368,16
941,404368,35
942,404368,12
943,665251,16
944,665251,878
945,373571,878
946,373571,28
947,9502,28
948,9502,12
949,9502,16
950,9502,10751
951,9502,35
952,57800,16
953,57800,35
954,57800,12
955,57800,10751
956,480530,18
957,129,16
958,129,10751
959,129,14
960,44943,878
961,44943,28
962,76341,28
963,76341,12
964,76341,878
965,287947,28
